n,time_s,adc_low,adc_high,adc_low_norm,adc_high_norm
146,0.00146,0,14,0,0.0546875
147,0.00147,0,8,0,0.03125
148,0.00148,0,4,0,0.015625
149,0.00149,4,4,0.015625,0.015625
150,0.0015,13,7,0.05078125,0.02734375
151,0.00151,22,11,0.0859375,0.04296875
152,0.00152,34,18,0.1328125,0.0703125
153,0.00153,45,26,0.17578125,0.1015625
154,0.00154,57,36,0.22265625,0.140625
155,0.00155,66,45,0.2578125,0.17578125
156,0.00156,73,55,0.28515625,0.21484375
157,0.00157,78,63,0.3046875,0.24609375
158,0.00158,78,69,0.3046875,0.26953125
159,0.00159,76,72,0.296875,0.28125
160,0.0016,70,73,0.2734375,0.28515625
161,0.00161,61,69,0.23828125,0.26953125
162,0.00162,49,63,0.19140625,0.24609375
163,0.00163,37,56,0.14453125,0.21875
164,0.00164,25,46,0.09765625,0.1796875
165,0.00165,14,36,0.0546875,0.140625
166,0.00166,5,25,0.01953125,0.09765625
167,0.00167,0,17,0,0.06640625
168,0.00168,0,10,0,0.0390625
169,0.00169,0,6,0,0.0234375
170,0.0017,6,6,0.0234375,0.0234375
171,0.00171,15,7,0.05859375,0.02734375
172,0.00172,26,12,0.1015625,0.046875
173,0.00173,38,20,0.1484375,0.078125
174,0.00174,51,30,0.19921875,0.1171875
175,0.00175,63,41,0.24609375,0.16015625
176,0.00176,72,51,0.28125,0.19921875
177,0.00177,77,60,0.30078125,0.234375
178,0.00178,78,67,0.3046875,0.26171875
179,0.00179,75,70,0.29296875,0.2734375
180,0.0018,67,70,0.26171875,0.2734375
181,0.00181,56,66,0.21875,0.2578125
182,0.00182,44,61,0.171875,0.23828125
183,0.00183,31,52,0.12109375,0.203125
184,0.00184,18,41,0.0703125,0.16015625
185,0.00185,8,30,0.03125,0.1171875
186,0.00186,0,20,0,0.078125
187,0.00187,0,13,0,0.05078125
188,0.00188,0,8,0,0.03125
189,0.00189,6,6,0.0234375,0.0234375
190,0.0019,16,8,0.0625,0.03125
191,0.00191,28,14,0.109375,0.0546875
192,0.00192,43,23,0.16796875,0.08984375
193,0.00193,56,33,0.21875,0.12890625
194,0.00194,67,44,0.26171875,0.171875
195,0.00195,75,54,0.29296875,0.2109375
196,0.00196,79,64,0.30859375,0.25
197,0.00197,77,69,0.30078125,0.26953125
198,0.00198,69,69,0.26953125,0.26953125
199,0.00199,59,67,0.23046875,0.26171875
200,0.002,45,61,0.17578125,0.23828125
201,0.00201,31,52,0.12109375,0.203125
202,0.00202,17,41,0.06640625,0.16015625
203,0.00203,6,30,0.0234375,0.1171875
204,0.00204,0,20,0,0.078125
205,0.00205,0,12,0,0.046875
206,0.00206,2,8,0.0078125,0.03125
207,0.00207,11,8,0.04296875,0.03125
208,0.00208,22,10,0.0859375,0.0390625
209,0.00209,37,19,0.14453125,0.07421875
210,0.0021,52,29,0.203125,0.11328125
211,0.00211,66,42,0.2578125,0.1640625
212,0.00212,75,53,0.29296875,0.20703125
213,0.00213,79,62,0.30859375,0.2421875
214,0.00214,76,67,0.296875,0.26171875
215,0.00215,68,69,0.265625,0.26953125
216,0.00216,57,67,0.22265625,0.26171875
217,0.00217,42,60,0.1640625,0.234375
218,0.00218,26,50,0.1015625,0.1953125
219,0.00219,13,38,0.05078125,0.1484375
220,0.0022,2,26,0.0078125,0.1015625
221,0.00221,0,16,0,0.0625
222,0.00222,0,10,0,0.0390625
223,0.00223,8,9,0.03125,0.03515625
224,0.00224,19,10,0.07421875,0.0390625
225,0.00225,34,17,0.1328125,0.06640625
226,0.00226,50,27,0.1953125,0.10546875
227,0.00227,65,40,0.25390625,0.15625
228,0.00228,74,51,0.2890625,0.19921875
229,0.00229,78,60,0.3046875,0.234375
230,0.0023,75,66,0.29296875,0.2578125
231,0.00231,68,69,0.265625,0.26953125
232,0.00232,54,65,0.2109375,0.25390625
233,0.00233,38,58,0.1484375,0.2265625
234,0.00234,21,46,0.08203125,0.1796875
235,0.00235,8,34,0.03125,0.1328125
236,0.00236,0,23,0,0.08984375
237,0.00237,0,14,0,0.0546875
238,0.00238,4,9,0.015625,0.03515625
239,0.00239,14,9,0.0546875,0.03515625
240,0.0024,29,15,0.11328125,0.05859375
241,0.00241,47,24,0.18359375,0.09375
242,0.00242,61,36,0.23828125,0.140625
243,0.00243,73,48,0.28515625,0.1875
244,0.00244,77,58,0.30078125,0.2265625
245,0.00245,75,65,0.29296875,0.25390625
246,0.00246,66,67,0.2578125,0.26171875
247,0.00247,52,64,0.203125,0.25
248,0.00248,35,55,0.13671875,0.21484375
249,0.00249,18,44,0.0703125,0.171875
250,0.0025,5,31,0.01953125,0.12109375
251,0.00251,0,21,0,0.08203125
252,0.00252,0,13,0,0.05078125
253,0.00253,7,9,0.02734375,0.03515625
254,0.00254,21,11,0.08203125,0.04296875
255,0.00255,38,19,0.1484375,0.07421875
256,0.00256,56,30,0.21875,0.1171875
257,0.00257,68,42,0.265625,0.1640625
258,0.00258,77,55,0.30078125,0.21484375
259,0.00259,77,64,0.30078125,0.25
260,0.0026,69,67,0.26953125,0.26171875
261,0.00261,55,65,0.21484375,0.25390625
262,0.00262,37,57,0.14453125,0.22265625
263,0.00263,20,46,0.078125,0.1796875
264,0.00264,6,33,0.0234375,0.12890625
265,0.00265,0,21,0,0.08203125
266,0.00266,0,13,0,0.05078125
267,0.00267,8,10,0.03125,0.0390625
268,0.00268,23,12,0.08984375,0.046875
269,0.00269,42,21,0.1640625,0.08203125
270,0.0027,59,33,0.23046875,0.12890625
271,0.00271,72,45,0.28125,0.17578125
272,0.00272,78,57,0.3046875,0.22265625
273,0.00273,75,65,0.29296875,0.25390625
274,0.00274,64,66,0.25,0.2578125
275,0.00275,47,62,0.18359375,0.2421875
276,0.00276,28,52,0.109375,0.203125
277,0.00277,12,40,0.046875,0.15625
278,0.00278,1,27,0.00390625,0.10546875
279,0.00279,0,16,0,0.0625
280,0.0028,5,11,0.01953125,0.04296875
281,0.00281,19,12,0.07421875,0.046875
282,0.00282,38,18,0.1484375,0.0703125
283,0.00283,56,30,0.21875,0.1171875
284,0.00284,71,43,0.27734375,0.16796875
285,0.00285,77,55,0.30078125,0.21484375
286,0.00286,75,63,0.29296875,0.24609375
287,0.00287,64,65,0.25,0.25390625
288,0.00288,47,61,0.18359375,0.23828125
289,0.00289,27,51,0.10546875,0.19921875
290,0.0029,10,38,0.0390625,0.1484375
291,0.00291,0,25,0,0.09765625
292,0.00292,0,16,0,0.0625
293,0.00293,7,10,0.02734375,0.0390625
294,0.00294,24,13,0.09375,0.05078125
295,0.00295,44,23,0.171875,0.08984375
296,0.00296,62,34,0.2421875,0.1328125
297,0.00297,75,48,0.29296875,0.1875
298,0.00298,79,60,0.30859375,0.234375
299,0.00299,71,64,0.27734375,0.25
300,0.003,55,63,0.21484375,0.24609375
301,0.00301,35,56,0.13671875,0.21875
302,0.00302,17,45,0.06640625,0.17578125
303,0.00303,3,31,0.01171875,0.12109375
304,0.00304,0,19,0,0.07421875
305,0.00305,4,13,0.015625,0.05078125
306,0.00306,18,12,0.0703125,0.046875
307,0.00307,39,19,0.15234375,0.07421875
308,0.00308,59,32,0.23046875,0.125
309,0.00309,72,44,0.28125,0.171875
310,0.0031,78,57,0.3046875,0.22265625
311,0.00311,72,64,0.28125,0.25
312,0.00312,57,63,0.22265625,0.24609375
313,0.00313,36,56,0.140625,0.21875
314,0.00314,16,44,0.0625,0.171875
