k,freq_hz,xr,xi,yr,yi,x_mag_db,y_mag_db
0,0,-9.15527344e-05,0,-9.15527344e-05,0,-80.766571,-80.766571
1,48.828125,-0.000518798828,9.15527344e-05,-0.000701904297,0.000183105469,-65.5668335,-62.7885132
2,97.65625,-0.000518798828,-3.05175781e-05,-0.000701904297,6.10351562e-05,-65.6850204,-63.0417252
3,146.484375,-0.000518798828,-6.10351562e-05,-0.000671386719,-6.10351562e-05,-65.6403198,-63.4248009
4,195.3125,-0.000457763672,-9.15527344e-05,-0.000640869141,-9.15527344e-05,-66.6168365,-63.7768745
5,244.140625,-0.000549316406,-9.15527344e-05,-0.000671386719,-3.05175781e-05,-65.0845566,-63.45158
6,292.96875,-0.00048828125,-0.000122070312,-0.000640869141,0,-65.9633102,-63.8646126
7,341.796875,-0.00048828125,-0.000244140625,-0.000732421875,-0.000152587891,-65.2574997,-62.520256
8,390.625,-0.000518798828,-0.000183105469,-0.000732421875,-0.000122070312,-65.1901703,-62.5857849
9,439.453125,-0.000579833984,-0.000274658203,-0.000762939453,-0.000213623047,-63.8547745,-62.0223999
10,488.28125,-0.000579833984,-0.000274658203,-0.000762939453,-0.000183105469,-63.8547745,-62.106987
11,537.109375,-0.000640869141,-0.000274658203,-0.000793457031,-0.000213623047,-63.1322899,-61.7056198
12,585.9375,-0.000640869141,-0.000366210938,-0.000885009766,-0.000335693359,-62.6374397,-60.4772491
13,634.765625,-0.000762939453,-0.000366210938,-0.000946044922,-0.000274658203,-61.4497337,-60.1303177
14,683.59375,-0.000732421875,-0.000335693359,-0.000885009766,-0.000274658203,-61.8766708,-60.6616898
15,732.421875,-0.000793457031,-0.000457763672,-0.00100708008,-0.000305175781,-60.7617531,-59.5571823
16,781.25,-0.000823974609,-0.000427246094,-0.00103759766,-0.000274658203,-60.647583,-59.3853035
17,830.078125,-0.000915527344,-0.000396728516,-0.00112915039,-0.000244140625,-60.0192223,-58.7465363
18,878.90625,-0.000946044922,-0.000457763672,-0.00112915039,-0.000274658203,-59.5681534,-58.6953201
19,927.734375,-0.00100708008,-0.00048828125,-0.0012512207,-0.000366210938,-59.0217781,-57.696373
20,976.5625,-0.00106811523,-0.000427246094,-0.0012512207,-0.000244140625,-58.7830582,-57.8910446
21,1025.39062,-0.00122070312,-0.000457763672,-0.00137329102,-0.000274658203,-57.696373,-57.0744133
22,1074.21875,-0.00122070312,-0.000396728516,-0.00137329102,-0.000213623047,-57.8317223,-57.1409149
23,1123.04688,-0.00137329102,-0.000427246094,-0.00155639648,-0.000244140625,-56.8435135,-56.0520248
24,1171.875,-0.00146484375,-0.000366210938,-0.00158691406,-6.10351562e-05,-56.4208832,-55.9825134
25,1220.70312,-0.00146484375,-0.000335693359,-0.00164794922,-6.10351562e-05,-56.4618835,-55.6551704
26,1269.53125,-0.00161743164,-0.000274658203,-0.00170898438,0,-55.7000198,-55.3452377
27,1318.35938,-0.00170898438,-0.000183105469,-0.00180053711,9.15527344e-05,-55.2956696,-54.8807449
28,1367.1875,-0.00180053711,-6.10351562e-05,-0.00198364258,0.000244140625,-54.8869705,-53.9854393
29,1416.01562,-0.00186157227,-9.15527344e-05,-0.00192260742,0.000305175781,-54.5919075,-54.214119
30,1464.84375,-0.00192260742,-3.05175781e-05,-0.00198364258,0.000335693359,-54.3210945,-53.9281044
31,1513.67188,-0.00204467773,0.000122070312,-0.00204467773,0.000457763672,-53.772049,-53.5750999
32,1562.5,-0.00210571289,0.000244140625,-0.00213623047,0.000640869141,-53.4740257,-53.0327759
