k,freq_hz,mag_db
208,10156.25,-4.71377325
209,10205.0781,-4.66022205
210,10253.9062,-4.44895554
211,10302.7344,-4.53918171
212,10351.5625,-4.68544006
213,10400.3906,-4.76974583
214,10449.2188,-4.68556118
215,10498.0469,-4.66327238
216,10546.875,-4.61899805
217,10595.7031,-4.82912779
218,10644.5312,-4.71800995
219,10693.3594,-4.91430664
220,10742.1875,-4.89433479
221,10791.0156,-4.68781376
222,10839.8438,-4.91552639
223,10888.6719,-5.11876154
224,10937.5,-5.03479099
225,10986.3281,-4.90009689
226,11035.1562,-4.96866751
227,11083.9844,-4.94074869
228,11132.8125,-5.25936413
229,11181.6406,-5.10192013
230,11230.4688,-5.21748543
231,11279.2969,-5.13974953
232,11328.125,-5.24998569
233,11376.9531,-5.19591093
234,11425.7812,-5.29133415
235,11474.6094,-5.35510969
236,11523.4375,-5.28911972
237,11572.2656,-5.52576637
238,11621.0938,-5.30547857
239,11669.9219,-5.14860392
240,11718.75,-5.29238605
241,11767.5781,-5.27727127
242,11816.4062,-5.4374733
243,11865.2344,-5.43970108
244,11914.0625,-5.18538475
245,11962.8906,-5.43491316
246,12011.7188,-5.55729628
247,12060.5469,-5.60814476
248,12109.375,-5.55582762
249,12158.2031,-5.47731638
250,12207.0312,-5.61449528
251,12255.8594,-5.79729271
252,12304.6875,-5.68886089
253,12353.5156,-5.75515223
254,12402.3438,-5.71954012
255,12451.1719,-5.81163168
256,12500,-5.8218565
257,12548.8281,-5.90547085
258,12597.6562,-5.87175941
259,12646.4844,-5.77492332
260,12695.3125,-5.79614639
261,12744.1406,-5.69380808
262,12792.9688,-5.83202744
263,12841.7969,-5.91289234
264,12890.625,-5.94814682
265,12939.4531,-5.87352991
266,12988.2812,-5.85374451
267,13037.1094,-6.13582039
268,13085.9375,-6.22044373
269,13134.7656,-6.32235718
270,13183.5938,-6.1352973
271,13232.4219,-6.39301252
272,13281.25,-6.12894106
273,13330.0781,-6.13104773
274,13378.9062,-6.23250866
275,13427.7344,-6.34469414
276,13476.5625,-6.28411293
277,13525.3906,-6.30753565
278,13574.2188,-6.35315943
279,13623.0469,-6.29709959
280,13671.875,-6.45923615
281,13720.7031,-6.56469345
282,13769.5312,-6.40327215
283,13818.3594,-6.58885384
284,13867.1875,-6.54189682
285,13916.0156,-6.41095924
286,13964.8438,-6.55181694
287,14013.6719,-6.57403183
288,14062.5,-6.61256313
289,14111.3281,-6.48009205
290,14160.1562,-6.72665977
291,14208.9844,-6.61037159
292,14257.8125,-6.57275581
293,14306.6406,-6.61381197
294,14355.4688,-6.7470746
295,14404.2969,-7.0036087
296,14453.125,-6.77961349
297,14501.9531,-6.64147615
298,14550.7812,-6.61991501
299,14599.6094,-6.94426489
300,14648.4375,-6.61919403
301,14697.2656,-6.76679564
302,14746.0938,-6.82338476
303,14794.9219,-6.89163113
304,14843.75,-6.62934113
305,14892.5781,-6.82885265
306,14941.4062,-6.91326094
307,14990.2344,-6.86941195
308,15039.0625,-6.9067297
309,15087.8906,-6.96604967
310,15136.7188,-6.82478809
311,15185.5469,-6.96629047
312,15234.375,-7.01696301
313,15283.2031,-7.22896576
314,15332.0312,-6.9653964
315,15380.8594,-7.25926876
316,15429.6875,-7.0823741
317,15478.5156,-7.15698719
318,15527.3438,-7.16997242
319,15576.1719,-7.298316
320,15625,-7.19219732
321,15673.8281,-7.16522121
322,15722.6562,-7.35840607
323,15771.4844,-7.39598656
324,15820.3125,-7.31104565
325,15869.1406,-7.29038286
326,15917.9688,-7.50484467
327,15966.7969,-7.36368132
328,16015.625,-7.54135036
329,16064.4531,-7.42444324
330,16113.2812,-7.45187759
331,16162.1094,-7.28417826
332,16210.9375,-7.63892841
333,16259.7656,-7.51992178
334,16308.5938,-7.30463696
335,16357.4219,-7.74277782
336,16406.25,-7.59041595
337,16455.0781,-7.45121098
338,16503.9062,-7.50617075
339,16552.7344,-7.85476398
340,16601.5625,-7.4343338
341,16650.3906,-7.71407318
342,16699.2188,-7.80570269
343,16748.0469,-7.69729567
344,16796.875,-7.65474415
345,16845.7031,-7.81173754
346,16894.5312,-7.720644
347,16943.3594,-7.7592001
348,16992.1875,-7.93513107
349,17041.0156,-7.87000275
350,17089.8438,-7.77969313
351,17138.6719,-7.95621824
352,17187.5,-8.10258484
353,17236.3281,-8.01392365
354,17285.1562,-7.88226032
355,17333.9844,-8.13335991
356,17382.8125,-8.07994747
357,17431.6406,-7.99361944
358,17480.4688,-7.75320292
359,17529.2969,-8.17500019
360,17578.125,-8.1943531
361,17626.9531,-8.29485512
362,17675.7812,-7.95360851
363,17724.6094,-8.35514927
364,17773.4375,-8.00180817
365,17822.2656,-8.1881237
366,17871.0938,-8.29986572
367,17919.9219,-8.18775749
368,17968.75,-8.26958275
369,18017.5781,-8.23639011
370,18066.4062,-8.22482204
371,18115.2344,-8.49874306
372,18164.0625,-8.24692345
373,18212.8906,-8.36504555
374,18261.7188,-8.56032562
375,18310.5469,-8.25204277
376,18359.375,-8.18039799
377,18408.2031,-8.51693439
378,18457.0312,-8.33809757
379,18505.8594,-8.20275688
380,18554.6875,-8.57519913
381,18603.5156,-8.29699802
382,18652.3438,-8.44215012
383,18701.1719,-8.52805138
384,18750,-8.45165348
385,18798.8281,-8.5266571
386,18847.6562,-8.50093269
387,18896.4844,-8.51816177
388,18945.3125,-8.77206326
389,18994.1406,-8.3599472
390,19042.9688,-8.77150059
391,19091.7969,-8.5775547
392,19140.625,-8.70304203
393,19189.4531,-8.65281963
394,19238.2812,-8.79893303
395,19287.1094,-8.67017365
396,19335.9375,-8.66613197
397,19384.7656,-8.84206295
398,19433.5938,-8.70765495
399,19482.4219,-8.89441395
400,19531.25,-8.85038567
401,19580.0781,-8.78038406
402,19628.9062,-9.12572861
403,19677.7344,-8.88589859
404,19726.5625,-8.81281948
405,19775.3906,-8.7514019
406,19824.2188,-8.77162933
407,19873.0469,-9.19139671
408,19921.875,-8.88131142
409,19970.7031,-9.33328724
410,20019.5312,-8.98416901
411,20068.3594,-8.94913673
412,20117.1875,-9.19964981
413,20166.0156,-9.3438921
414,20214.8438,-9.0197134
415,20263.6719,-9.28470325
416,20312.5,-8.94060516
417,20361.3281,-8.90485191
418,20410.1562,-9.416605
419,20458.9844,-9.02569389
420,20507.8125,-9.34101963
421,20556.6406,-8.8801527
422,20605.4688,-9.30096531
423,20654.2969,-9.37114906
424,20703.125,-9.30926418
425,20751.9531,-9.4667902
426,20800.7812,-9.22036266
427,20849.6094,-9.22350216
428,20898.4375,-9.27732182
429,20947.2656,-9.37633419
430,20996.0938,-9.37133789
431,21044.9219,-9.54994965
432,21093.75,-9.29079914
433,21142.5781,-9.38354492
434,21191.4062,-9.30147934
435,21240.2344,-9.25861263
436,21289.0625,-9.21477413
437,21337.8906,-9.59780788
438,21386.7188,-9.34727764
439,21435.5469,-9.45151901
440,21484.375,-9.36470032
441,21533.2031,-9.6153574
442,21582.0312,-9.59555626
443,21630.8594,-9.66783714
444,21679.6875,-9.57384491
445,21728.5156,-9.46261215
446,21777.3438,-9.93793774
447,21826.1719,-9.36991596
448,21875,-9.88319302
449,21923.8281,-9.73244762
450,21972.6562,-9.5191164
451,22021.4844,-9.91237545
452,22070.3125,-9.76590729
453,22119.1406,-9.9368372
454,22167.9688,-9.62712479
455,22216.7969,-9.73467255
456,22265.625,-10.1615925
457,22314.4531,-9.57670784
458,22363.2812,-9.82648182
459,22412.1094,-9.88551617
460,22460.9375,-10.0068398
461,22509.7656,-9.94767284
462,22558.5938,-9.67932892
463,22607.4219,-10.1419821
464,22656.25,-9.84940434
465,22705.0781,-9.85541439
466,22753.9062,-10.1234283
467,22802.7344,-10.3562403
468,22851.5625,-9.77146149
469,22900.3906,-10.2315025
470,22949.2188,-9.87392807
471,22998.0469,-10.087801
472,23046.875,-10.1465244
473,23095.7031,-10.12568
474,23144.5312,-10.150238
475,23193.3594,-9.94725227
476,23242.1875,-9.96582603
477,23291.0156,-10.1315479
478,23339.8438,-10.3103628
479,23388.6719,-9.99017906
480,23437.5,-10.2914534
481,23486.3281,-10.4021816
482,23535.1562,-10.2266579
483,23583.9844,-10.2994213
484,23632.8125,-10.2187977
485,23681.6406,-10.1112032
486,23730.4688,-10.1881523
487,23779.2969,-10.5157166
488,23828.125,-10.3175564
489,23876.9531,-10.4828148
490,23925.7812,-10.1083384
491,23974.6094,-10.6840811
492,24023.4375,-10.5831766
493,24072.2656,-10.4083061
494,24121.0938,-10.3975334
495,24169.9219,-10.8659821
496,24218.75,-10.3786812
497,24267.5781,-10.2296257
498,24316.4062,-10.3464451
499,24365.2344,-10.6626873
500,24414.0625,-10.6297483
501,24462.8906,-10.6496887
502,24511.7188,-10.8048992
503,24560.5469,-10.5679111
504,24609.375,-10.472023
505,24658.2031,-10.5149374
506,24707.0312,-10.7176008
507,24755.8594,-10.2972622
508,24804.6875,-10.7370205
509,24853.5156,-10.6493073
510,24902.3438,-10.8448992
511,24951.1719,-10.9073248
512,25000,-10.9441872
513,25048.8281,-10.7855492
514,25097.6562,-10.8700705
515,25146.4844,-10.3862104
516,25195.3125,-11.2071438
517,25244.1406,-10.6400261
518,25292.9688,-10.7420387
519,25341.7969,-10.7594509
520,25390.625,-10.7139692
521,25439.4531,-10.9629593
522,25488.2812,-11.1675539
523,25537.1094,-10.9434147
524,25585.9375,-11.0582256
525,25634.7656,-10.9828739
526,25683.5938,-11.1795149
527,25732.4219,-10.5939426
528,25781.25,-11.0891771
529,25830.0781,-10.7609081
530,25878.9062,-11.2136497
531,25927.7344,-10.967227
532,25976.5625,-11.2042131
533,26025.3906,-11.0873756
534,26074.2188,-11.1934643
535,26123.0469,-11.0846062
536,26171.875,-11.2624092
537,26220.7031,-10.8511429
538,26269.5312,-11.4491386
539,26318.3594,-11.120739
540,26367.1875,-10.9956493
541,26416.0156,-11.4361076
542,26464.8438,-11.3444185
543,26513.6719,-10.9247122
544,26562.5,-11.0931282
545,26611.3281,-10.9033384
546,26660.1562,-11.0350018
547,26708.9844,-11.566
548,26757.8125,-11.3800049
549,26806.6406,-11.1313953
550,26855.4688,-11.0016146
551,26904.2969,-11.2537975
552,26953.125,-11.357523
553,27001.9531,-11.267643
554,27050.7812,-11.1585255
555,27099.6094,-11.252779
556,27148.4375,-11.2167921
557,27197.2656,-11.3276672
558,27246.0938,-11.3946142
559,27294.9219,-11.5544128
560,27343.75,-11.4823227
561,27392.5781,-11.3696012
562,27441.4062,-11.517231
563,27490.2344,-11.5877838
564,27539.0625,-11.4884796
565,27587.8906,-11.0707426
566,27636.7188,-11.5503407
567,27685.5469,-11.2502003
568,27734.375,-11.531889
569,27783.2031,-11.5275917
