k,freq_hz,mag_db
963,47021.4844,-15.4635887
964,47070.3125,-15.8915434
965,47119.1406,-16.0286484
966,47167.9688,-15.6250277
967,47216.7969,-16.5379982
968,47265.625,-15.809721
969,47314.4531,-15.4693336
970,47363.2812,-16.0301781
971,47412.1094,-15.4530735
972,47460.9375,-16.1816196
973,47509.7656,-15.5066442
974,47558.5938,-16.4160004
975,47607.4219,-16.4057903
976,47656.25,-16.1345253
977,47705.0781,-16.523777
978,47753.9062,-15.9677486
979,47802.7344,-15.8471165
980,47851.5625,-16.1295452
981,47900.3906,-16.8288441
982,47949.2188,-16.4847736
983,47998.0469,-16.5569954
984,48046.875,-15.8443365
985,48095.7031,-15.3558493
986,48144.5312,-16.2904167
987,48193.3594,-16.1060352
988,48242.1875,-15.7705688
989,48291.0156,-15.8433743
990,48339.8438,-15.9257832
991,48388.6719,-16.2734356
992,48437.5,-16.3352356
993,48486.3281,-15.9152107
994,48535.1562,-16.365015
995,48583.9844,-15.7878494
996,48632.8125,-16.2071018
997,48681.6406,-16.6148205
998,48730.4688,-16.9970093
999,48779.2969,-16.4201221
1000,48828.125,-16.5848942
1001,48876.9531,-16.2718525
1002,48925.7812,-16.0419445
1003,48974.6094,-16.8631382
1004,49023.4375,-16.6927643
1005,49072.2656,-17.3391304
1006,49121.0938,-17.0453682
1007,49169.9219,-16.7101784
1008,49218.75,-17.3278008
1009,49267.5781,-16.815052
1010,49316.4062,-18.5172367
1011,49365.2344,-17.9881973
1012,49414.0625,-18.2585754
1013,49462.8906,-19.4135838
1014,49511.7188,-19.5331497
1015,49560.5469,-18.8497334
1016,49609.375,-20.1842041
1017,49658.2031,-21.1499443
1018,49707.0312,-24.0856953
1019,49755.8594,-24.1480446
1020,49804.6875,-27.5151672
1021,49853.5156,-23.991869
1022,49902.3438,-28.758316
1023,49951.1719,-32.0958176
1024,50000,-39.1945686
