freq_hz,mag_db
1.000000000000000000e+04,-3.885479211807250977e+00
1.000786523437500000e+04,-3.885902881622314453e+00
1.001573730468750000e+04,-3.901075124740600586e+00
1.002361523437500000e+04,-3.893208265304565430e+00
1.003149902343750000e+04,-3.840619325637817383e+00
1.003938964843750000e+04,-3.877899885177612305e+00
1.004728613281250000e+04,-3.911687850952148438e+00
1.005518847656250000e+04,-3.850159645080566406e+00
1.006309765625000000e+04,-3.872115373611450195e+00
1.007101269531250000e+04,-3.859975337982177734e+00
1.007893457031250000e+04,-3.895447731018066406e+00
1.008686132812500000e+04,-3.916006565093994141e+00
1.009479589843750000e+04,-3.832880020141601562e+00
1.010273535156250000e+04,-3.897916793823242188e+00
1.011068164062500000e+04,-3.846688270568847656e+00
1.011863476562500000e+04,-3.829868316650390625e+00
1.012659375000000000e+04,-3.883543252944946289e+00
1.013455859375000000e+04,-3.911407470703125000e+00
1.014253027343750000e+04,-3.972278833389282227e+00
1.015050781250000000e+04,-3.935385942459106445e+00
1.015849121093750000e+04,-3.870402812957763672e+00
1.016648144531250000e+04,-3.833645343780517578e+00
1.017447753906250000e+04,-3.768952846527099609e+00
1.018248046875000000e+04,-3.775250434875488281e+00
1.019048925781250000e+04,-3.865809917449951172e+00
1.019850488281250000e+04,-3.799593210220336914e+00
1.020652636718750000e+04,-3.814460992813110352e+00
1.021455468750000000e+04,-3.923152685165405273e+00
1.022258886718750000e+04,-3.961960315704345703e+00
1.023062988281250000e+04,-3.786082506179809570e+00
1.023867675781250000e+04,-3.821174144744873047e+00
1.024672949218750000e+04,-3.792126417160034180e+00
1.025478906250000000e+04,-3.747769594192504883e+00
1.026285546875000000e+04,-3.761164665222167969e+00
1.027092773437500000e+04,-3.757635354995727539e+00
1.027900585937500000e+04,-3.922310829162597656e+00
1.028709082031250000e+04,-3.790804862976074219e+00
1.029518261718750000e+04,-3.824176311492919922e+00
1.030328027343750000e+04,-3.733119487762451172e+00
1.031138378906250000e+04,-3.836907863616943359e+00
1.031949414062500000e+04,-3.895188331604003906e+00
1.032761132812500000e+04,-3.956375122070312500e+00
1.033573437500000000e+04,-4.029400825500488281e+00
