k,freq_hz,coherence
203,9912.10938,0.996322632
204,9960.9375,0.995183289
205,10009.7656,0.995645225
206,10058.5938,0.995913565
207,10107.4219,0.997329175
208,10156.25,0.996210456
209,10205.0781,0.994185507
210,10253.9062,0.995766997
211,10302.7344,0.997724533
212,10351.5625,0.996430576
213,10400.3906,0.993382871
214,10449.2188,0.996007919
215,10498.0469,0.994866312
216,10546.875,0.996157765
217,10595.7031,0.996917069
218,10644.5312,0.997665584
219,10693.3594,0.996753812
220,10742.1875,0.995392442
221,10791.0156,0.996610582
222,10839.8438,0.996153235
223,10888.6719,0.996153831
224,10937.5,0.996844113
225,10986.3281,0.99603945
226,11035.1562,0.995569527
227,11083.9844,0.996482253
228,11132.8125,0.996663749
229,11181.6406,0.996666551
230,11230.4688,0.996465504
231,11279.2969,0.99521488
232,11328.125,0.995031357
233,11376.9531,0.993800402
234,11425.7812,0.996721268
235,11474.6094,0.996176481
236,11523.4375,0.996863246
237,11572.2656,0.996298552
238,11621.0938,0.995008707
239,11669.9219,0.996628582
240,11718.75,0.997959495
241,11767.5781,0.995601356
242,11816.4062,0.994754851
243,11865.2344,0.996403694
244,11914.0625,0.994715154
245,11962.8906,0.995346963
246,12011.7188,0.99427861
247,12060.5469,0.994816422
248,12109.375,0.995922148
249,12158.2031,0.994626284
250,12207.0312,0.995872319
251,12255.8594,0.994453311
252,12304.6875,0.993412197
253,12353.5156,0.995814264
254,12402.3438,0.995090544
255,12451.1719,0.996245265
256,12500,0.995641649
257,12548.8281,0.995196998
258,12597.6562,0.994792223
259,12646.4844,0.994932353
260,12695.3125,0.994271815
261,12744.1406,0.994763851
262,12792.9688,0.994439662
263,12841.7969,0.994651318
264,12890.625,0.994935453
265,12939.4531,0.993742049
266,12988.2812,0.995166004
267,13037.1094,0.992389917
268,13085.9375,0.996667385
269,13134.7656,0.993418932
270,13183.5938,0.994502723
271,13232.4219,0.99375242
272,13281.25,0.99468118
273,13330.0781,0.993996322
274,13378.9062,0.995325446
275,13427.7344,0.995022476
276,13476.5625,0.994981349
277,13525.3906,0.992419064
278,13574.2188,0.99750036
279,13623.0469,0.996686757
280,13671.875,0.995139956
281,13720.7031,0.994322121
282,13769.5312,0.996141672
283,13818.3594,0.997392952
284,13867.1875,0.993499875
285,13916.0156,0.994793952
286,13964.8438,0.993898094
287,14013.6719,0.995584488
288,14062.5,0.994206905
289,14111.3281,0.996322334
290,14160.1562,0.994280994
291,14208.9844,0.99557364
292,14257.8125,0.996536076
293,14306.6406,0.996201694
294,14355.4688,0.99361527
295,14404.2969,0.994342923
296,14453.125,0.99211514
297,14501.9531,0.994016826
298,14550.7812,0.996254444
299,14599.6094,0.993718326
300,14648.4375,0.99543339
301,14697.2656,0.995985925
302,14746.0938,0.995694697
303,14794.9219,0.993374825
304,14843.75,0.993321538
305,14892.5781,0.994626582
306,14941.4062,0.996245682
307,14990.2344,0.99666661
308,15039.0625,0.993640661
309,15087.8906,0.995556831
310,15136.7188,0.99473542
311,15185.5469,0.997456968
312,15234.375,0.996464729
313,15283.2031,0.992544711
314,15332.0312,0.995478392
315,15380.8594,0.993019402
316,15429.6875,0.995431781
317,15478.5156,0.993685424
318,15527.3438,0.995530844
319,15576.1719,0.991277218
320,15625,0.997002006
321,15673.8281,0.990814447
322,15722.6562,0.992653012
323,15771.4844,0.99339211
324,15820.3125,0.991247356
325,15869.1406,0.994538069
326,15917.9688,0.992433965
327,15966.7969,0.992357612
328,16015.625,0.993597388
329,16064.4531,0.993267953
330,16113.2812,0.99530983
331,16162.1094,0.993034601
332,16210.9375,0.994947016
333,16259.7656,0.994990647
334,16308.5938,0.993252993
335,16357.4219,0.992115855
336,16406.25,0.995850742
337,16455.0781,0.992764711
338,16503.9062,0.994755089
339,16552.7344,0.99512893
340,16601.5625,0.991954863
341,16650.3906,0.995037854
342,16699.2188,0.993506372
343,16748.0469,0.9943012
344,16796.875,0.994010806
345,16845.7031,0.990351915
346,16894.5312,0.992908597
347,16943.3594,0.992735744
348,16992.1875,0.995960355
349,17041.0156,0.995921373
350,17089.8438,0.991766036
351,17138.6719,0.993780196
352,17187.5,0.991581202
353,17236.3281,0.992339671
354,17285.1562,0.995434105
355,17333.9844,0.990011334
356,17382.8125,0.990744233
357,17431.6406,0.992593527
358,17480.4688,0.992674053
359,17529.2969,0.994431794
360,17578.125,0.992059708
361,17626.9531,0.989867628
362,17675.7812,0.993240774
363,17724.6094,0.995309412
364,17773.4375,0.993211806
365,17822.2656,0.988543093
366,17871.0938,0.994633913
367,17919.9219,0.995411038
368,17968.75,0.99219954
369,18017.5781,0.993035257
370,18066.4062,0.993496299
371,18115.2344,0.995574296
372,18164.0625,0.99029392
373,18212.8906,0.993771613
374,18261.7188,0.991481662
375,18310.5469,0.99428302
376,18359.375,0.989207149
377,18408.2031,0.988613307
378,18457.0312,0.991892099
379,18505.8594,0.993011355
380,18554.6875,0.994372606
381,18603.5156,0.991895914
382,18652.3438,0.994150102
383,18701.1719,0.987853944
384,18750,0.99247843
385,18798.8281,0.990751982
386,18847.6562,0.992301524
387,18896.4844,0.9924016
388,18945.3125,0.992918372
389,18994.1406,0.990924239
390,19042.9688,0.994770885
391,19091.7969,0.992818594
392,19140.625,0.988189697
393,19189.4531,0.995491505
